Name,Platform,Year,Genre,Publisher
Super Smash Bros. for Wii U,Wii U,2014,Fighting,Sora Ltd.
Metal Gear Solid V: The Phantom Pain,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2015,Action-adventure,Kojima Productions
Uncharted 4: A Thief's End,PlayStation 4,2016,Action-adventure,Naughty Dog
The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD
Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego
The Elder Scrolls V: Skyrim,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action role-playing,Bethesda Game Studios
The Walking Dead,"iOS, Microsoft Windows, OS X, PlayStation 3, Xbox 360",2012,Graphic adventure,Telltale Games
The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog
Super Smash Bros. for Wii U,Wii U,2014,Fighting,Sora Ltd.
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
Uncharted 4: A Thief's End,PlayStation 4,2016,Action-adventure,Naughty Dog
Super Mario Galaxy,Wii,2007,Platformer,Nintendo EAD Tokyo
Call of Duty: Modern Warfare 2,"Microsoft Windows, PlayStation 3, Xbox 360",2009,First-person shooter,Infinity Ward
Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego
The Legend of Zelda: Skyward Sword,Wii,2011,Action-adventure,Nintendo EAD
Far Cry 3,"Microsoft Windows, PlayStation 3, Xbox 360",2012,First-person shooter,Ubisoft Montreal
The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog
Super Smash Bros. for Wii U,Wii U,2014,Fighting,Sora Ltd.
Fallout 4,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,Bethesda Game Studios
Combat,Atari 2600,1977,Shoot 'em up,"Atari, Inc."
Space Invaders,Atari 2600,1980,Shoot 'em up,Taito
Kaboom!,Atari 2600,1981,Action,Activision
Ms. Pac-Man,Atari 2600,1982,Action,Namco
Donkey Kong,Atari 8-bit family,1983,Platformer,Nintendo Research & Development 1
Pitfall II: Lost Caverns,Atari 2600,1984,Platformer,Activision
Elite,ZX Spectrum,1985,Space flight simulation,Acornsoft
Three Weeks in Paradise,"Amstrad CPC, ZX Spectrum",1986,Platformer,Mikro-Gen
Head over Heels,Commodore 64,1987,Action,Ocean Software
Super Mario Bros. 3,NES,1988,Platformer,Nintendo R&D4
Tetris,Game Boy,1989,Puzzle,Bullet-Proof Software
Railroad Tycoon,"Amiga, Mac OS, MS-DOS",1990,Business simulation,MPS Labs
Lemmings,"Amiga, Atari ST, MS-DOS",1991,Puzzle,DMA Design
Links 386 Pro,MS-DOS,1992,Sports,Access Software
Day of the Tentacle,"MS-DOS, Mac OS",1993,Graphic adventure,LucasArts
Final Fantasy VI,SNES,1994,Role-playing,Square
