Name,Platform,Year,Genre,Publisher
! That Bastard Is Trying To Steal Our Gold !,"Linux, Microsoft Windows",2016,"Action,",WTFOMGames
"""Glow Ball"" - The billiard puzzle game","Linux, Microsoft Windows",2014,Sports,WTFOMGames
'n Verlore Verstand,"Linux, macOS, Microsoft Windows",2016,Adventure,Skobbejak Games
.EXE,"Linux, macOS, Microsoft Windows",2016,"Action,","Two Man Army Games, L.L.C"
0 A.D.,"Linux, macOS, Microsoft Windows",2014,Real-time strategy,Wildfire Games
"10,000,000","Android, iOS, Linux, macOS, Microsoft Windows",2012,Puzzle,EightyEight Games LTD
1001 Spikes,"3DS, Linux, PlayStation 4, Vita, Wii U, Windows, Xbox 360, Xbox One",2014,Platform,"Nicalis, Inc."
1166,"Linux, macOS, Microsoft Windows",2017,"Action,",Predator Productions
12 is Better Than 6,"Linux, macOS, Microsoft Windows",2015,Action,Pinkapp Games
12 Labours of Hercules,"Linux, macOS, Microsoft Windows",2015,Casual,Jetdogs Studios
12 Labours of Hercules II: The Cretan Bull,"Linux, macOS, Microsoft Windows",2015,Strategy,Jetdogs Studios
12 Labours of Hercules III: Girl Power,"Linux, macOS, Microsoft Windows",2015,Strategy,Jetdogs Studios
12 Labours of Hercules IV: Mother Nature,"Linux, macOS, Microsoft Windows",2015,Casual,Jetdogs Studios
12 Labours of Hercules V: Kids of Hellas,"Linux, macOS, Microsoft Windows",2016,Casual,Jetdogs Studios
12 orbits,"Linux, macOS, Microsoft Windows",2016,Action,Roman Uhlig
140,"Linux, macOS, Microsoft Windows",2013,Action,Carlsen Games
16bit Trader,"Linux, macOS, Microsoft Windows",2015,Adventure,Forever Entertainment S. A.
1775: Rebellion,"Linux, macOS, Microsoft Windows",2016,Strategy,HexWar Games
1942: The Pacific Air War,"Linux, macOS, Microsoft Windows",2015,Simulation,Night Dive Studios
2 Ninjas 1 Cup,"Linux, Microsoft Windows",2017,Action,Vogelfänger
2064: Read Only Memories,"Linux, macOS, Microsoft Windows",2015,Adventure,"MidBoss, LLC."
20something,"Linux, macOS, Microsoft Windows",2017,RPG,Jake Tucker
3079 -- Block Action RPG,"Linux, macOS, Microsoft Windows",2011,Action,Phr00t's Software
3089 -- Futuristic Action RPG,"Linux, macOS, Microsoft Windows",2014,Action,Phr00t's Software
365 Days,"Linux, macOS, Microsoft Windows",2017,Action,Mugle Studio
3D Arcade Fishing,"Linux, macOS, Microsoft Windows",2016,Casual,rokapublish GmbH
3D Chess,"Linux, macOS, Microsoft Windows",2016,Casual,rokapublish GmbH
3D Paraglider,"Linux, macOS, Microsoft Windows",2015,Sports,khos85
4089: Ghost Within,"Linux, macOS, Microsoft Windows",2015,Action,Phr00t's Software
4Team,"Linux, macOS, Microsoft Windows",2016,Action,Heisenberg Entertainment
4x4 Road Race,"Linux, macOS, Microsoft Windows",2017,Racing,Mirador Studio
5089: The Action RPG,"Linux, macOS, Microsoft Windows",2016,Action,Phr00t's Software
6180 the moon,"Linux, macOS, Microsoft Windows",2014,Action,Turtle Cream
7 Days to Die,"Linux, PlayStation 4, macOS, Microsoft Windows, Xbox One",2013,Action,The Fun Pimps Entertainment LLC
7 Mages,"Linux, macOS, Microsoft Windows, Android, iOS",2016,RPG,"Napoleon Games, s.r.o."
88 Heroes,"Linux, macOS, Microsoft Windows",2017,Action,Rising Star Games
8BitMMO,"Linux, macOS, Microsoft Windows",2015,Action,Archive Entertainment
8infinity,"Linux, macOS, Microsoft Windows",2016,Action,Forever Entertainment S. A.
9 Clues 2: The Ward,"Linux, macOS, Microsoft Windows",2015,Adventure,Artifex Mundi
9 Clues: The Secret of Serpent Creek,"Linux, macOS, Microsoft Windows",2015,Adventure,Artifex Mundi
911 Operator,"Linux, macOS, Microsoft Windows",2017,Simulation,PlayWay S.A.
99 Levels to Hell,"Linux, macOS, Microsoft Windows",2013,Side-scrolling,Zaxis Games
99 Waves to Die,"Linux, Microsoft Windows",2015,Action,SpookyFish Games
99Vidas,"Linux, macOS, Microsoft Windows",2016,Action,QUByte Interactive
A Bird Story,"Linux, macOS, Microsoft Windows",2014,Adventure,Freebird Games
A Boy and His Blob,"Linux, macOS, Microsoft Windows",2016,Adventure,Midnight City
A Day in the Woods,"Linux, macOS, Microsoft Windows",2011,Casual,RetroEpic Software
A Druid's Duel,"Linux, macOS, Microsoft Windows",2015,Strategy,Surprise Attack
A Game of Changes,"Linux, macOS, Microsoft Windows",2016,Casual,Nuno Donato
A Golden Wake,"Linux, macOS, Microsoft Windows",2014,Adventure,Wadjet Eye Games
A Good Snowman Is Hard To Build,"Linux, macOS, Microsoft Windows",2015,Indie,Draknek
A Hole New World,"Linux, macOS, Microsoft Windows",2017,Adventure,MadGearGames
A Kiss for the Petals - Remembering How We Met,"Linux, macOS, Microsoft Windows",2015,Adventure,MangaGamer
A Little Lily Princess,"Linux, macOS, Microsoft Windows",2016,Simulation,Hanako Games
A Long Way Home,"Linux, macOS, Microsoft Windows",2016,Adventure,Jonathan Mulcahy
A Mass of Dead,"Linux, macOS, Microsoft Windows",2015,Action,Dev Arc
A Midsummer Night's Choice,"Linux, macOS, Microsoft Windows",2016,Adventure,Choice of Games
A More Beautiful World - A Visual Novel,"Linux, macOS, Microsoft Windows",2017,Simulation,Sekai Project
A Normal Lost Phone,"Linux, macOS, Microsoft Windows",2017,Casual,Plug In Digital Label
A Quiver of Crows,"Linux, macOS, Microsoft Windows",2016,Action,Sheado.net
A Study in Steampunk: Choice by Gaslight,"Linux, macOS, Microsoft Windows",2015,RPG,Hosted Games
A Tale of Two Kingdoms,"Linux, Microsoft Windows",2017,Adventure,Crystal Shard
A Trip to Yugoslavia: Director's Cut,"Linux, macOS, Microsoft Windows",2017,Action,Sometimes You
A Valley Without Wind,"Linux, macOS, Microsoft Windows",2012,Action,"Arcen Games, LLC"
A Valley Without Wind 2,"Linux, macOS, Microsoft Windows",2013,Action,"Arcen Games, LLC"
A Virus Named TOM,"Linux, macOS, Microsoft Windows",2012,Action,Misfits Attic
A Wild Catgirl Appears!,"Linux, macOS, Microsoft Windows",2016,Adventure,NewWestGames
A Wise Use of Time,"Linux, macOS, Microsoft Windows",2015,RPG,Choice of Games
A Wizard's Lizard,"Linux, macOS, Microsoft Windows",2014,Action,Lost Decade Games
A-Gents,"Linux, macOS, Microsoft Windows",2016,Action,phime studio LLC
A.V.,"Linux, macOS, Microsoft Windows",2015,Adventure,MAGIC Spell Studios
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Linux, macOS, Microsoft Windows",2011,Action,"Dejobaan Games, LLC"
Aaru's Awakening,"Linux, macOS, Microsoft Windows",2015,Action,Lumenox ehf
Aberoth,"Linux, macOS, Microsoft Windows",2015,Action,Jarbit
Abomination Tower,"Linux, macOS, Microsoft Windows",2015,Action,Amethyst Quarter
"About Love, Hate and the other ones","Linux, macOS, Microsoft Windows",2014,Casual,Black Pants Studio
Absolute Drift,"Linux, macOS, Microsoft Windows",2015,Action,Funselektor Labs Inc.
Abyss: The Wraiths of Eden,"Linux, macOS, Microsoft Windows",2012,Adventure,Artifex Mundi sp. z o.o.
ACE Academy,"Linux, macOS, Microsoft Windows",2016,Action,PixelFade Inc
Ace of Protectors,"Linux, macOS, Microsoft Windows",2016,Action,xPathfinder Games
Achron,"Linux, macOS, Microsoft Windows",2011,Real-time strategy,Hazardous Software
Across The Rhine,"Linux, macOS, Microsoft Windows",1995,Strategy,Retroism
Action Henk,"Linux, macOS, Microsoft Windows",2015,Action,RageSquid
Action Legion,"Linux, macOS, Microsoft Windows",2016,Action,Aeonic Entertainment
Adam and Eve: The Game - Chapter 1,"Linux, Microsoft Windows",2016,Action,Religious Studios
Adele: Following the Signs,"Linux, macOS, Microsoft Windows",2016,Adventure,Unosquare
ADOM (Ancient Domains Of Mystery),"Linux, macOS, Microsoft Windows",2015,Adventure,Thomas Biskup
Adorables,"Linux, Microsoft Windows",2016,Casual,White Rabbit Games
AdVenture Capitalist,"Linux, macOS, Microsoft Windows",2015,Casual,Hyper Hippo Games
Adventure in the Tower of Flight,"Linux, macOS, Microsoft Windows",2015,Action,"Pixel Barrage Entertainment, Inc."
ADventure Lib,"Linux, macOS, Microsoft Windows",2015,Adventure,Fancy Fish Games
Adventures of Shuggy,"Linux, macOS, Microsoft Windows",2012,Indie,Smudged Cat Games Ltd
Adventurezator: When Pigs Fly,"Linux, macOS, Microsoft Windows",2014,Adventure,Degica
AdvertCity,"Linux, macOS, Microsoft Windows",2015,Tycoon game,VoxelStorm
Aeon Command,"Linux, macOS, Microsoft Windows",2014,Casual,"Bat Country Games, LLC"
Affairs of the Court: Choice of Romance,"Linux, macOS, Microsoft Windows",2013,Adventure,Choice of Games
After Reset RPG,"Linux, macOS, Microsoft Windows",2015,Adventure,Black Cloud Studios
Agatha Christie - The ABC Murders,"Linux, macOS, Microsoft Windows",2016,Adventure,Microids
Age of Conquest IV,"Linux, macOS, Microsoft Windows",2016,Indie,Noble Master LLC
Age of Defense,"Linux, macOS, Microsoft Windows",2017,Indie,Battlecruiser Games
Age of Fear 2: The Chaos Lord,"Linux, macOS, Microsoft Windows",2015,Adventure,KISS Ltd
Age of Fear: The Undead King,"Linux, macOS, Microsoft Windows",2015,Adventure,KISS Ltd
Age of Wonders III,"Linux, macOS, Microsoft Windows",2014,Turn-based strategy,Triumph Studios
Agenda,"Linux, macOS, Microsoft Windows",2016,Indie,Exordium Games
Agent Walker: Secret Journey,"Linux, macOS, Microsoft Windows",2016,Adventure,Artifex Mundi
Agricola: All Creatures Big and Small,"Linux, macOS, Microsoft Windows",2017,Indie,DIGIDICED
AI War: Fleet Command,"Linux, macOS, Microsoft Windows",2009,Strategy,"Arcen Games, LLC"
Aiball,"Linux, macOS, Microsoft Windows",2016,Action,HFM Games
Air Brawl,"Linux, macOS, Microsoft Windows",2015,Action,N/A
Air Conflicts: Pacific Carriers,"Linux, macOS, Microsoft Windows",2012,Action,Games Farm
Air Conflicts: Vietnam,"Linux, macOS, Microsoft Windows",2013,Action,Games Farm
Airline Tycoon Deluxe,"Linux, macOS, Microsoft Windows",1998,Simulation,Black Forest Games
Airscape: The Fall of Gravity,"Linux, macOS, Microsoft Windows",2015,Indie,Cross-Product
Airships: Conquer the Skies,"Linux, macOS, Microsoft Windows",2015,Action,David Stark
Akaneiro: Demon Hunters,"Linux, macOS, Microsoft Windows",2014,Action,Spicy Horse
Al Emmo and the Lost Dutchman's Mine,"Linux, Microsoft Windows",2006,Adventure,Himalaya Studios
Alarameth TD™,"Linux, macOS, Microsoft Windows",2015,Strategy,Steam
Alchemist's Awakening,"Linux, macOS, Microsoft Windows",2016,Action,Osaris Games
Alchemy Mysteries: Prague Legends,"Linux, Microsoft Windows",2014,Adventure,Jetdogs Studios
ALICE VR,"Linux, Microsoft Windows",2016,Adventure,Klabater
Alien Blitz,"Linux, macOS, Microsoft Windows",2016,Action,Jean-Baptiste Simillon
Alien Robot Monsters,"Linux, macOS, Microsoft Windows",2015,Action,Kraftix Games
Alien Isolation,"Linux, macOS, Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2015,Action-adventure,"Sega, 20th Century Fox"
Almightree: The Last Dreamer,"Linux, macOS, Microsoft Windows",2015,Action,Digital Tribe
ALONE IN SPACE,"Linux, macOS, Microsoft Windows",2016,Adventure,Butterflyware
ALONE?,"Linux, macOS, Microsoft Windows",2016,Action,Deceptive Games Ltd.
Along the Edge,"Linux, macOS, Microsoft Windows",2016,Indie,Nova-box
Alpacapaca Dash,"Linux, macOS, Microsoft Windows",2017,Casual,Synnergy Circle Games
ALPAGES : THE FIVE BOOKS,"Linux, macOS, Microsoft Windows",2015,Action,GenomGames
Alphabeats: Master Edition,"Linux, macOS, Microsoft Windows",2016,Action,Rad Dragon
Alter World,"Linux, macOS, Microsoft Windows",2015,Indie,Giorgi Abelashvili
Altitude,"Linux, macOS, Microsoft Windows",2009,Action,Nimbly Games
Alum,"Linux, macOS, Microsoft Windows",2015,Adventure,N/A
Alwa's Awakening,"Linux, macOS, Microsoft Windows",2017,Adventure,Elden Pixels
Always Remember Me,"Linux, macOS, Microsoft Windows",2011,Casual,Winter Wolves
Always Sometimes Monsters,"Linux, macOS, Microsoft Windows",2014,RPG,Devolver Digital
Always The Same Blue Sky...,"Linux, macOS, Microsoft Windows",2015,Adventure,Flying Interactive
Amaranthine,"Linux, Microsoft Windows",2016,Action,Roman Kozhukhov
Amazing Frog?,"Linux, macOS, Microsoft Windows",2014,Adventure,Fayju
American Truck Simulator,"Linux, macOS, Microsoft Windows",2016,Simulation,SCS Software
Amnesia: A Machine for Pigs,"Linux, macOS, Microsoft Windows",2013,Survival Horror,Frictional Games
Amnesia: The Dark Descent,"Linux, macOS, Microsoft Windows",2010,Survival Horror,Frictional Games
Among Ripples,"Linux, macOS, Microsoft Windows",2015,Casual,Eat Create Sleep
Among the Heavens,"Linux, macOS, Microsoft Windows",2015,Simulation,Jetdogs Studios
Among the Sleep,"Linux, macOS, Microsoft Windows",2014,Action,Krillbite Studio
Amygdala,"Linux, macOS, Microsoft Windows",2015,Action,MachineSpirit
An Alien with a Magnet,"Linux, macOS, Microsoft Windows",2017,Adventure,Rejected Games
An Assassin in Orlandes,"Linux, macOS, Microsoft Windows",2015,Adventure,Tin Man Games
An Octave Higher,"Linux, macOS, Microsoft Windows",2015,Adventure,AGM PLAYISM
Analogue: A Hate Story,"Linux, macOS, Microsoft Windows",2012,Indie,Love Conquers All Games
Ancients of Fasaria: Chess Club,"Linux, macOS, Microsoft Windows",2015,Strategy,New Source Entertainment
And So It Was,"Linux, macOS, Microsoft Windows",2016,Action,VolumeUp Studios
And Yet It Moves,"Linux, macOS, OnLive, WiiWare, Microsoft Windows",2009,Platform,Broken Rules
Angeldust,"Linux, macOS, Microsoft Windows",2016,Action,Metagaming B.V.
Angels That Kill,"Linux, macOS, Microsoft Windows",2015,Adventure,Rising Sun Interactive
Angels with Scaly Wings,"Linux, macOS, Microsoft Windows",2017,Adventure,Radical Phi
Angry Video Game Nerd II: ASSimilation,"Linux, macOS, Microsoft Windows",2016,Action,ScrewAttack Games
Anima Gate of Memories,"Linux, macOS, Microsoft Windows",2016,Action,Badland Games
Animal Gods,"Linux, macOS, Microsoft Windows",2015,Action,Still Games
Animated Puzzles,"Linux, macOS, Microsoft Windows",2016,Casual,Mexond
Anime Studio Simulator,"Linux, macOS, Microsoft Windows",2016,Indie,Visualnoveler
Anna - Extended Edition,"Linux, macOS, Microsoft Windows",2013,Adventure,Kalypso Media Digital
Anna's Quest,"Linux, macOS, Microsoft Windows",2015,Adventure,Daedalic Entertainment
Anno Online,"Linux, macOS, Microsoft Windows",2013,Simulation,Ubisoft
Anode,"Linux, macOS, Microsoft Windows",2015,Action,Kittehface Software
Anodyne,"Linux, macOS, Microsoft Windows",2013,Action,Analgesic Productions
Anomaly 2,"Linux, macOS, Microsoft Windows",2013,Action,11 bit studios
Anomaly Defenders,"Linux, macOS, Microsoft Windows",2014,Action,11 bit studios
Anomaly Korea,"Linux, macOS, Microsoft Windows",2013,Action,11 bit studios
Anomaly Warzone Earth Mobile Campaign,"Linux, macOS, Microsoft Windows",2013,Action,11 bit studios
Anomaly: Warzone Earth,"Linux, macOS, Microsoft Windows",2011,Action,11 bit studios
Another Star,"Linux, macOS, Microsoft Windows",2014,RPG,Vision Riders Entertainment
Another World – 20th Anniversary Edition,"Linux, macOS, Microsoft Windows",2013,Action,Focus Home Interactive
Anoxemia,"Linux, macOS, Microsoft Windows",2015,Adventure,BSK Games
Ant War: Domination,"Linux, macOS, Microsoft Windows",2015,Simulation,Anarchy Enterprises
Antichamber,"Linux, macOS, Microsoft Windows",2013,Puzzle Platformer,Demruth
Antisquad,"Linux, macOS, Microsoft Windows",2014,Action,INSGAMES LIMITED
AoF Chess Club 2.0,"Linux, macOS, Microsoft Windows",2015,MMO,NSE Circuit
Aozora Meikyuu,"Linux, macOS, Microsoft Windows",2016,Adventure,Yume Creations
Apotheon,"Linux, macOS, Microsoft Windows",2015,Action,Alientrap
Appointment With FEAR,"Linux, macOS, Microsoft Windows",2014,Adventure,Tin Man Games
Aquaria,"Linux, Microsoft Windows",2007,Indie,"Bit Blot, LLC"
Approaching Blocks,"Linux, macOS, Microsoft Windows",2016,Casual,Dymchick1
Aqua Panic!,"Linux, macOS, Microsoft Windows",2015,Casual,Eko Software
AR-K,"Linux, macOS, Microsoft Windows",2014,Adventure,Gato Salvaje S.L.
AR-K: The Great Escape,"Linux, macOS, Microsoft Windows",2015,Adventure,Gato Salvaje S.L.
Aragami,"Linux, macOS, Microsoft Windows",,Action,Lince Works
Arctic alive,"Linux, Microsoft Windows",2016,Action,Dima Kiva
ARK: Survival Evolved,"Linux, macOS, Microsoft Windows",2015,Action,Studio Wildcard
ARK: Survival Of The Fittest,"Linux, macOS, Microsoft Windows",2016,Action,Studio Wildcard
Arkshot,"Linux, macOS, Microsoft Windows",2016,Action,Digerati Distribution
Arma Tactics,"Linux, macOS, Microsoft Windows",2013,Strategy,Bohemia Interactive
Armed and Gelatinous,"Linux, macOS, Microsoft Windows",2016,Action,Three Flip Studios
ARMED SEVEN,"Linux, Microsoft Windows",2015,Action,Nyu Media
Armello,"Linux, macOS, Microsoft Windows",2015,Adventure,League of Geeks
Armikrog,"Linux, macOS, Microsoft Windows",2015,Adventure,Versus Evil
Army of Tentacles: (Not) A Cthulhu Dating Sim,"Linux, macOS, Microsoft Windows",2016,Adventure,Stegalosaurus Game Development
ASA: A Space Adventure - Remastered Edition,"Linux, macOS, Microsoft Windows",2015,Adventure,N/A
Ascendant,"Linux, macOS, Microsoft Windows",2014,Action,Hapa Games
Asphyxia,"Linux, macOS, Microsoft Windows",2015,Simulation,Sekai Project
Assault Android Cactus,"Linux, macOS, Microsoft Windows",2013,Action,N/A
Asteroid Bounty Hunter,"Linux, macOS, Microsoft Windows",2016,Action,KupiKey
Astral Breakers,"Linux, macOS, Microsoft Windows",2016,Action,Intropy Games
Astral Gun,"Linux, macOS, Microsoft Windows",2016,Action,Thomas Moon Kang
Astro Emporia,"Linux, macOS, Microsoft Windows",2015,Casual,Squirrelbot Games
Atari Vault,"Linux, Microsoft Windows",2016,Action,Atari
ATOM GRRRL!!,"Linux, macOS, Microsoft Windows",2016,Casual,Sekai Project
Atriage,"Linux, macOS, Microsoft Windows",2016,Indie,Batu Games LLC
Attractio,"Linux, macOS, Microsoft Windows",2016,Action,Bandai Namco Entertainment
Audiosurf 2,"Linux, macOS, Microsoft Windows",2015,Music,Dylan Fitterer
AuroraRL,"Linux, Microsoft Windows",2016,Action,Siberian Digital
Auto Dealership Tycoon,"Linux, macOS, Microsoft Windows",2015,Indie,"Diggidy.net, LLC"
Automata Empire,"Linux, macOS, Microsoft Windows",2016,Indie,Nonadecimal Creative
Autumn,"Linux, macOS, Microsoft Windows",2014,Casual,Nuno Donato
Avadon: The Black Fortress,"Linux, macOS, Microsoft Windows",2011,RPG,Spiderweb Software
Avalon Lords: Dawn Rises,"Linux, macOS, Microsoft Windows",2016,Strategy,Animus Interactive Inc
Awesomenauts,"Linux, macOS, Microsoft Windows",2012,Action,Ronimo Games
"Axe, Bow & Staff","Linux, macOS, Microsoft Windows",2016,Action,Clewcat Games
Axes and Acres,"Linux, macOS, Microsoft Windows",2016,Strategy,BrainGoodGames
Axiom Verge,"Linux, macOS, Microsoft Windows",2015,Metroidvania,Thomas Happ Games
Axis Football 2015,"Linux, macOS, Microsoft Windows",2015,Sports,Axis Games
Back to Bed,"Linux, macOS, Microsoft Windows",2014,Casual,Bedtime Digital Games
Backstage Pass,"Linux, macOS, Microsoft Windows",2014,Simulation,sakevisual
Bacteria,"Linux, macOS, Microsoft Windows",2016,Casual,Sometimes You
Bad Hotel,"Linux, macOS, Microsoft Windows",2013,Casual,Lucky Frame
Badland Bandits,"Linux, macOS, Microsoft Windows",2015,Action,Wild Wolf Std
BADLAND: Game of the Year Edition,"Linux, macOS, Microsoft Windows",2015,Action,Frogmind
Baldur's Gate II: Enhanced Edition,"Linux, macOS, Microsoft Windows",2014,RPG,Atari
Baldur's Gate: Enhanced Edition,"Linux, macOS, Microsoft Windows",2014,RPG,Atari
Ballpoint Universe - Infinite,"Linux, macOS, Microsoft Windows",2013,Action,Arachnid Games
Balrum,"Linux, macOS, Microsoft Windows",2016,Adventure,Balcony Team
Bard to the Future,"Linux, macOS, Microsoft Windows",2015,Action,Battlebard Games
Bard's Gold,"Linux, macOS, Microsoft Windows",2015,Indie,Erdem Sen
Barony,"Linux, macOS, Microsoft Windows",2015,Action,Turning Wheel LLC
Basement,"Linux, macOS, Microsoft Windows",2015,Simulation,Halfbus
Bastion,"Linux, macOS, Microsoft Windows",2011,Action RPG,Warner Bros. Interactive Entertainment
Batla,"Linux, macOS, Microsoft Windows",2015,Action,Abyss Lights Studio LLP
Battle for Blood,"Linux, macOS, Microsoft Windows",2015,Casual,YFC games
Battle For The Sun,"Linux, macOS, Microsoft Windows",2015,Action,Appsolutely Studios
Battle Group 2,"Linux, macOS, Microsoft Windows",2014,Action,Merge Games
Battle of Empires : 1914-1918,"Linux, macOS, Microsoft Windows",2015,Action,Best Way Soft
Battle Ranch,"Linux, macOS, Microsoft Windows",2015,Action,Playboom
Battle Worlds: Kronos,"Linux, macOS, Microsoft Windows",2013,Strategy,King Art Games
BattleBlock Theater,"Linux, macOS, Microsoft Windows",2014,Platformer,"Microsoft Studios, The Behemoth"
BattleSpace,"Linux, macOS, Microsoft Windows",2013,Free to Play,Gravity Europe
Beach Bounce,"Linux, macOS, Microsoft Windows",2015,Adventure,AJTilley.com
Bear Haven Nights,"Linux, macOS, Microsoft Windows",2016,Action,SunRay Games
Bear Simulator,"Linux, macOS, Microsoft Windows",2016,Action,Farjay.com
Beasts of Prey,"Linux, macOS, Microsoft Windows",2014,Action,Octagon Interactive
Beat Hazard,"Linux, macOS, Microsoft Windows",2010,Action,Cold Beam Games
BeatBlasters III,"Linux, macOS, Microsoft Windows",2014,Action,Chainsawesome Games
Beatbuddy: Tale of the Guardians,"Linux, macOS, Microsoft Windows",2013,Adventure,Reverb Publishing
Before the Echo,"Linux, macOS, Microsoft Windows",2011,Indie,N/A
Bermuda,"Linux, macOS, Microsoft Windows",2015,Indie,InvertMouse
Bernie Needs Love,"Linux, Microsoft Windows",2015,Action,Protomni Multimedia
Besiege,"Linux, macOS, Microsoft Windows",2015,Indie,Spiderling Studios
Best of Us,"Linux, macOS, Microsoft Windows",2016,Adventure,Hosted Games
Beyond Eyes,"Linux, macOS, Microsoft Windows",2015,Indie,Team17 Digital Ltd
Beyond Gravity,"Linux, macOS, Microsoft Windows",2014,Action,Qwiboo Ltd
Bibou,"Linux, macOS, Microsoft Windows",2016,Action,OtakuMaker.com
Big Journey to Home,"Linux, macOS, Microsoft Windows",2015,Indie,The Light Sword Team
Big Pharma,"Linux, macOS, Microsoft Windows",2015,Indie,Positech Games
Big Thinkers 1st Grade,"Linux, macOS, Microsoft Windows",2015,Casual,Humongous Entertainment
Big Thinkers Kindergarten,"Linux, macOS, Microsoft Windows",2015,Casual,Humongous Entertainment
Bik - A Space Adventure,"Linux, macOS, Microsoft Windows",2014,Indie,Zotnip
Binaries,"Linux, macOS, Microsoft Windows",2016,Action,Ant Workshop Ltd
Biodrone Battle,"Linux, macOS, Microsoft Windows",2015,Action,voodoosoft
Bionic Dues,"Linux, macOS, Microsoft Windows",2014,Indie,Arcen Games
Bionic Heart,"Linux, macOS, Microsoft Windows",2009,Indie,Winter Wolves
Bionic Heart 2,"Linux, macOS, Microsoft Windows",2013,Indie,Winter Wolves
BioShock Infinite,"Linux, macOS, Microsoft Windows, PlayStation 3, Xbox 360",2013,First-person shooter,2K Games
Bit Blaster XL,"Linux, macOS, Microsoft Windows",2016,Action,Nickervision Studios
Bit Shifter,"Linux, Microsoft Windows",2015,Action,Plastic Games
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,"Linux, macOS, Microsoft Windows",2013,Action,Gaijin Games
Bitardia,"Linux, macOS, Microsoft Windows",2015,Action,varlamov5264
Bitardia Cards: Memes of 2ch,"Linux, macOS, Microsoft Windows",2016,Casual,varlamov5264
Bitweb,"Linux, Microsoft Windows",2015,Casual,practicing01
Black Closet,"Linux, macOS, Microsoft Windows",2015,Indie,Hanako Games
Black Ice,"Linux, macOS, Microsoft Windows",2014,Action,Super Duper Garrett Cooper
Black The Fall,"Linux, macOS, Microsoft Windows",2014,Action,Sand Sailor Studio
BLACKHOLE,"Linux, macOS, Microsoft Windows",2015,Action,FiolaSoft Studio
Blacksea Odyssey,"Linux, macOS, Microsoft Windows",2016,Action,Blacksea Odyssey
Blackwell Convergence,"Linux, macOS, Microsoft Windows",2012,Indie,Wadjet Eye Games
Blackwell Unbound,"Linux, macOS, Microsoft Windows",2012,Indie,Wadjet Eye Games
BlazeRush,"Linux, macOS, Microsoft Windows",2014,Action,Targem Games
BLEAK: Welcome to Glimmer,"Linux, macOS, Microsoft Windows",2016,Action,"Tenwall Creatives, Inc."
Bleed,"Linux, macOS, Microsoft Windows",2013,Action,Ian Campbell
Blinding Dark,"Linux, macOS, Microsoft Windows",2014,Action,BulkyPix
Block Legend DX,"Linux, macOS, Microsoft Windows",2015,Adventure,Dot Warrior Games
Blocks That Matter,"Linux, macOS, Microsoft Windows",2011,Casual,N/A
Blockstorm,"Linux, macOS, Microsoft Windows",2015,Action,IndieGala
Blockwick 2,"Linux, macOS, Microsoft Windows",2015,Casual,Kieffer Bros.
Blood Code,"Linux, macOS, Microsoft Windows",2015,Indie,WeShare Games
Bloodbath Kavkaz,"Linux, macOS, Microsoft Windows",2015,Action,Dagestan Technology
BloodGate,"Linux, macOS, Microsoft Windows",2016,Action,Outsmart
BloodNet,"Linux, macOS, Microsoft Windows",1993,Adventure,Retroism
Blue Libra,"Linux, macOS, Microsoft Windows",2011,Action,Orator Games
Blue Rose,"Linux, macOS, Microsoft Windows",2013,Adventure,White Cat
Blue Sheep,"Linux, macOS, Microsoft Windows",2016,Action,Noetic Games
Blueberry Garden,"Linux, macOS, Microsoft Windows",2009,Indie,Erik Svedäng
Blueprint Tycoon,"Linux, macOS, Microsoft Windows",2016,Casual,Endless Loop Studios
Blues and Bullets,"Linux, macOS, Microsoft Windows",2015,Adventure,A Crowd of Monsters
"Bolt Riley, A Reggae Adventure","Linux, macOS, Microsoft Windows",2016,Adventure,Adventure Mob
BOMB: Who let the dogfight?,"Linux, macOS, Microsoft Windows",2015,Action,La Moustache Studio
Bombernauts,"Linux, macOS, Microsoft Windows",2015,Action,Eyebrow Interactive
BomberZone,"Linux, macOS, Microsoft Windows",2016,Action,exosyphen studios
Bombing Bastards,"Linux, macOS, Microsoft Windows",2014,Action,Sanuk Games
BoneBone,"Linux, macOS, Microsoft Windows",2016,Action,Vladis Fire
Bonsai,"Linux, Microsoft Windows",2016,Casual,Rooted Concepts
Borderlands 2,"Linux, macOS, Microsoft Windows",2012,Action RPG,2K Games
Borderlands: The Pre-Sequel,"Linux, macOS, Microsoft Windows",2014,Action RPG,2K Games
Borstal,"Linux, macOS, Microsoft Windows",2016,Adventure,The Secret Pie
Boson X,"Linux, macOS, Microsoft Windows",2014,Action,Ian MacLarty
BossConstructor,"Linux, macOS, Microsoft Windows",2014,Action,Mirko Seithe
Bot Vice,"Linux, macOS, Microsoft Windows",2016,Action,DYA Games
Bound By Flame,"Linux, Microsoft Windows",2014,Action RPG,Focus Home Interactive
boxlife,"Linux, macOS, Microsoft Windows",2016,Indie,tequibo
Braid,"Linux, macOS, Microsoft Windows",2009,Indie,Number None
BrainBread 2,"Linux, macOS, Microsoft Windows",2016,Action,Reperio Studios
Bravada,"Linux, macOS, Microsoft Windows",2014,Indie,Interbellum team
